Committers,,,,,
ddykstal,,,,,
dmcknight,,,,,
kmunir,,,,,
jmontalvo,,,,,
moberhuber,,,,,
mscharf,,,,,
tewillia,,,,,
ustieber,,,,,

Developer Contributions,,,,,
component (CVS directory),bug #,contributor name,size,committer,description
org.eclipse.tm.rse/*,125719,Various IBM,? LOC,ddykstal,RSE Initial Submission
plugins/org.eclipse.rse.services.local,138619,Javier Montalvo Orus,2 LOC,ddykstal,Patch for encoding on Win2K
plugins/org.eclipse.rse.ui,140562,Javier Montalvo Orus,17 LOC,kmunir,Register New Connection as New Wizard
examples/org.eclipse.rse.remotecdt,137839,Ewa Matejska,471 LOC,moberhuber,CDT Launch Integration
doc/org.eclipse.rse.doc.user,142739,David Dykstal,2530 lines of HTML,ddykstal,RSE User Documentation
doc/org.eclipse.rse.doc.isv,142739,David Dykstal,7800 lines of HTML,ddykstal,RSE ISV Documentation
doc/org.eclipse.dstore.doc.isv,142739,David Dykstal,950 lines of HTML,ddykstal,DStore ISV Documentation
plugins/org.eclipse.dstore.core,142974,Michael Berger,? LOC,dmcknight,DStore patch for lost connection problem
plugins/org.eclipse.rse.services.dstore,141813,Michael Berger,? LOC,dmcknight,DStore patch for symbolic links problem
plugins/org.eclipse.dstore.core,144226,Michael Berger,? LOC,dmcknight,DStore spirit contribution
plugins/org.eclipse.rse.ui,145843,Michael Berger,2 LOC,ddykstal,removing non-standard expand and collapse
plugins/org.eclipse.rse.ui,146339,Michael Berger,8 LOC,ddykstal,added refresh action graphic
plugins/org.eclipse.dstore.core,146326,Michael Berger,30 LOC,ddykstal,fixed erroneously disconnected dstore elements
plugins/org.eclipse.rse.services.files.ftp,140408,Michael Berger,30 LOC,ddykstal,fixed ftp upload
plugins/org.eclipse.rse.services.dstore,147791,Michael Berger,10 LOC,ddykstal,fixed circular search
plugins/org.eclipse.rse.services.local,147791,Michael Berger,10 LOC,ddykstal,fixed circular search
plugins/org.eclipse.rse.services.files.ftp,140323,Javier Montalvo Orus,30 LOC,ddykstal,ftp implementation of move rename delete
plugins/org.eclipse.rse.services.files.ftp,140348,Javier Montalvo Orus,5 LOC,ddykstal,ftp should use port supplied by user
plugins/org.eclipse.rse.subsystems.files.ftp,140348,Javier Montalvo Orus,5 LOC,ddykstal,ftp should use port supplied by user
plugins/org.eclipse.rse.services.files.ftp,140406,Michael Berger,6 LOC,ddykstal,ftp create file implemenation
plugins/org.eclipse.rse.subsystems.files.ftp,140344,Javier Montalvo Orus,1 LOC,ddykstal,ftp should be allowed to Windows systems
plugins/org.eclipse.rse.logging,148434,Michael Berger,6 LOC,ddykstal,Added new help for logging preferences
plugins/org.eclipse.rse.services.dstore,147531,Michael Berger,62 LOC,dmcknight,Patch to allow filtering on either client or server
plugins/org.eclipse.rse.services,147531,Michael Berger,33 LOC,dmcknight,Patch to allow filtering on either client or server
plugins/org.eclipse.rse.ui,149080,Michael Berger,500 LOC,dmcknight,Patch to allow JUnit test framework to work
tests/org.eclipse.rse.tests.framework,149080,David Dykstal,500 LOC,ddykstal,framework that augments JUnit
tests/org.eclipse.rse.tests.framework.examples,149080,David Dykstal,200 LOC,ddykstal,examples for using framework

Third Party Software,,,
name+version,directory or jarfile,license name and version,usage
Jakarta Commons Net 1.4.1,org.eclipse.tm.core/3rdParty/org.apache.commons.net_1.4.1,Apache License v2.0,FTP client (unmodified binary)
